,latitude,longitude,price,_Entire home/apt,_Hotel room,_Private room,_Shared room,rating
1623,47.31257,8.52897,49.0,0,0,1,0,5.0
1624,47.311516,8.525748,75.0,0,0,1,0,5.0
1625,47.41136,8.45584,48.0,1,0,0,0,3.0
1626,47.41446,8.59017,220.0,1,0,0,0,1.0
1627,47.4327,8.56421,152.0,1,0,0,0,1.0
1628,47.38046,8.59533,59.0,0,0,1,0,5.0
1629,47.3950815094498,8.46870917826891,50.0,0,0,1,0,4.0
1630,47.44674,8.53762,200.0,1,0,0,0,1.0
1631,47.4368855,8.56403259999999,50.0,0,0,1,0,3.0
1632,47.43189,8.56301,59.0,0,0,1,0,3.0
1633,47.39477,8.59878,39.0,0,0,1,0,4.0
1634,47.410851,8.595868,83.0,0,0,1,0,4.0
1635,47.41579,8.58613,36.0,0,0,1,0,4.0
1636,47.41027,8.60285,496.0,1,0,0,0,1.0
1637,47.43065,8.56193,58.0,0,0,1,0,3.0
1638,47.43189,8.56301,50.0,0,0,1,0,3.0
1639,47.41981,8.55709,124.0,0,0,1,0,3.0
1640,47.41506,8.58919,161.0,0,0,1,0,3.0
1641,47.42207,8.56147,95.0,0,0,1,0,3.0
1642,47.42232,8.55872,861.0,1,0,0,0,1.0
1643,47.42806,8.56235,1000.0,1,0,0,0,1.0
1644,47.41494,8.58923,130.0,0,0,1,0,3.0
1645,47.4174,8.58774,1000.0,1,0,0,0,1.0
1646,47.40722,8.47386,155.0,1,0,0,0,2.0
1647,47.4162,8.58635,36.0,0,0,1,0,4.0
1648,47.40711,8.47412,253.0,1,0,0,0,1.0
1649,47.43742,8.56583,690.0,0,0,1,0,1.0
1650,47.4214887,8.561298,250.0,1,0,0,0,1.0
1651,47.34737,8.57401,140.0,1,0,0,0,4.0
1652,47.316475,8.550591,95.0,1,0,0,0,5.0
1653,47.32036,8.55208,110.0,1,0,0,0,5.0
1654,47.32923,8.54556,65.0,0,0,1,0,5.0
1655,47.33047,8.54596,65.0,0,0,1,0,5.0
1656,47.31081,8.52676,95.0,1,0,0,0,5.0
1657,47.32246,8.51949,100.0,1,0,0,0,5.0
1658,47.31996,8.55151,180.0,1,0,0,0,5.0
1659,47.31069,8.52463,120.0,1,0,0,0,5.0
1660,47.34186,8.57442,120.0,0,0,1,0,5.0
1661,47.37278,8.44979,94.0,0,0,1,0,5.0
1662,47.36179,8.62226,70.0,0,0,1,0,5.0
1663,47.39927,8.60807,98.0,1,0,0,0,3.0
1664,47.33859,8.60805,65.0,0,0,1,0,5.0
1665,47.34264,8.48599,90.0,0,0,1,0,5.0
1666,47.31728,8.53271,85.0,1,0,0,0,5.0
1667,47.34937,8.60246,52.0,0,0,1,0,5.0
1668,47.34386,8.60107,72.0,0,0,1,0,5.0
1669,47.31479,8.52135,50.0,0,0,1,0,5.0
1670,47.41312,8.59195,130.0,1,0,0,0,2.0
1671,47.41438,8.59005,180.0,1,0,0,0,2.0
1672,47.4054,8.46018,42.0,0,0,1,0,4.0
1673,47.31897,8.5258,160.0,1,0,0,0,5.0
1674,47.39707,8.45088,66.0,0,0,1,0,4.0
1675,47.36641,8.6295,90.0,0,0,1,0,5.0
1676,47.38448,8.59644,280.0,1,0,0,0,2.0
1677,47.43189,8.56301,60.0,0,0,1,0,3.0
1678,47.41096,8.59449,125.0,1,0,0,0,2.0
1679,47.3666,8.62263,131.0,1,0,0,0,4.0
1680,47.43794,8.57401,85.0,0,0,1,0,3.0
1681,47.39692,8.46373,386.0,0,0,1,0,2.0
1682,47.4489298,8.5314633,70.0,0,0,1,0,2.0
1683,47.3146,8.53282,70.0,0,0,1,0,5.0
1684,47.34491,8.57581,98.0,1,0,0,0,5.0
1685,47.39644,8.44637,150.0,1,0,0,0,2.0
1686,47.34619,8.57508,76.0,0,0,0,1,5.0
1687,47.34623,8.47836,450.0,1,0,0,0,2.0
1688,47.35479,8.6447,67.0,0,0,1,0,5.0
1689,47.41169,8.59106,100.0,1,0,0,0,2.0
1690,47.39716,8.464499,231.0,0,0,1,0,3.0
1691,47.4051440134942,8.60492516309022,300.0,1,0,0,0,1.0
1692,47.3971,8.44974,70.0,0,0,1,0,4.0
1693,47.41167,8.45764,68.0,0,0,1,0,4.0
1694,47.3415143,8.5813107,190.0,1,0,0,0,4.0
1695,47.42927,8.56454,40.0,0,0,1,0,3.0
1696,47.31217,8.52351,120.0,0,0,1,0,5.0
1697,47.4165,8.58605,121.0,1,0,0,0,2.0
1698,47.41448,8.59019,170.0,1,0,0,0,2.0
1699,47.4164,8.58555,111.0,1,0,0,0,2.0
1700,47.32281,8.53212,55.0,0,0,1,0,5.0
1701,47.4296,8.56198,69.0,1,0,0,0,2.0
1702,47.39716,8.464499,137.0,0,0,1,0,4.0
1703,47.40625,8.60748,110.0,0,0,1,0,4.0
1704,47.39846,8.61138,60.0,0,0,1,0,4.0
1705,47.41311,8.59195,150.0,1,0,0,0,2.0
1706,47.43393,8.56612,30.0,0,0,1,0,3.0
1707,47.41755,8.59942,1000.0,1,0,0,0,1.0
1708,47.428,8.47241,40.0,0,0,1,0,3.0
1709,47.41115,8.59202,200.0,1,0,0,0,2.0
1710,47.40957,8.5825,48.0,0,0,1,0,4.0
1711,47.38554,8.59375,250.0,1,0,0,0,2.0
1712,47.381954,8.594264,120.0,1,0,0,0,3.0
1713,47.30548,8.53021,240.0,1,0,0,0,5.0
1714,47.41434,8.60248,105.0,0,0,1,0,3.0
1715,47.41562,8.5875,72.0,0,0,1,0,3.0
1716,47.39531,8.59912,69.0,0,0,1,0,4.0
1717,47.34565,8.56427,595.0,1,0,0,0,2.0
1718,47.398548,8.600517,70.0,1,0,0,0,3.0
1719,47.43141,8.56625,85.0,1,0,0,0,2.0
1720,47.43687,8.56623,149.0,1,0,0,0,1.0
1721,47.42312,8.60212,109.0,1,0,0,0,2.0
1722,47.40033,8.44861,140.0,1,0,0,0,2.0
1723,47.42383,8.56255,49.0,0,0,1,0,3.0
1724,47.3950855857158,8.4687165543437,45.0,0,0,1,0,4.0
1725,47.41341,8.59207,220.0,1,0,0,0,2.0
1726,47.43293,8.56254,61.0,0,0,1,0,3.0
1727,47.43548,8.56121,58.0,0,0,1,0,3.0
1728,47.33799,8.6124,50.0,1,0,0,0,5.0
1729,47.41312,8.59193,130.0,1,0,0,0,2.0
1730,47.41646,8.58821,1000.0,1,0,0,0,1.0
1731,47.43189,8.56301,64.0,0,0,1,0,3.0
1732,47.4271989999999,8.5605364,185.0,1,0,0,0,1.0
1733,47.40147,8.60875,115.0,1,0,0,0,3.0
1734,47.3997,8.60811,176.0,1,0,0,0,2.0
1735,47.43815,8.47377,85.0,0,0,1,0,3.0
1736,47.39608,8.61687,1000.0,1,0,0,0,1.0
1737,47.43521,8.5697,273.0,1,0,0,0,1.0
1738,47.39925,8.61077,1000.0,1,0,0,0,1.0
1739,47.395,8.61574,45.0,0,0,1,0,4.0
1740,47.33012,8.5743,85.0,1,0,0,0,5.0
1741,47.41715,8.58467,936.0,1,0,0,0,1.0
1742,47.4487192,8.5366634,107.0,0,0,1,0,2.0
1743,47.32988,8.54206,110.0,1,0,0,0,5.0
1744,47.32867,8.54689,63.0,0,0,1,0,5.0
1745,47.4142128,8.5917538,149.0,1,0,0,0,2.0
1746,47.42792,8.56185,1000.0,1,0,0,0,1.0
1747,47.40537,8.60365,50.0,0,0,1,0,4.0
1748,47.3804,8.59537,73.0,0,0,1,0,5.0
1749,47.3432,8.56832,380.0,1,0,0,0,3.0
1750,47.43867,8.56768,1000.0,1,0,0,0,1.0
1751,47.40522,8.47313,135.0,1,0,0,0,2.0
1752,47.41894,8.5787,90.0,0,0,1,0,3.0
1753,47.41887,8.59915,54.0,0,0,1,0,3.0
1754,47.41745,8.58345,36.0,0,0,1,0,4.0
1755,47.40701,8.47413,130.0,1,0,0,0,2.0
1756,47.40257,8.60133,185.0,1,0,0,0,2.0
1757,47.41422,8.5873,275.0,1,0,0,0,1.0
1758,47.38636,8.59397,250.0,1,0,0,0,2.0
1759,47.40877,8.59945,1000.0,1,0,0,0,1.0
1760,47.39918,8.60747,50.0,0,0,1,0,4.0
1761,47.40503,8.60351,48.0,0,0,1,0,4.0
1762,47.42333,8.56177,180.0,1,0,0,0,1.0
1763,47.3954,8.44403,23.0,0,0,1,0,4.0
1764,47.40518,8.60196,80.0,0,0,1,0,4.0
1765,47.40449,8.60407,156.0,1,0,0,0,2.0
