id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,_Entire home/apt,_Hotel room,_Private room,_Shared room
1358424,2.5 room (68m2) Rooftop Attic with lake view,1951513,Denise,Kreis 8,MÃ¼hlebach,47.36406,8.55057,98,7,0,,,1,53,0,1,0,0,0
1446015,Lovely Appartment in ZÃ¼rich,5181732,Roni,Kreis 7,Hirslanden,47.36508,8.57226,77,10,4,06/11/2018,0.04,1,22,0,1,0,0,0
1473567,Subletting apartment or room,7888485,Heiko,Kreis 3,Friesenberg,47.3661,8.50282,96,1,27,24/09/2018,0.24,1,14,0,1,0,0,0
1509338,"Private room, bright & quiet(1-3months possible)",8061776,Salvia,Kreis 2,Wollishofen,47.33142,8.5374,65,2,60,31/07/2022,0.54,4,1,6,0,0,1,0
1566319,Big terrace apartment close to Tiefenbrunen,7090119,Raichvarg,Kreis 8,Weinegg,47.35242,8.57012,300,5,2,04/08/2022,0.38,1,144,2,1,0,0,0
1599790,room in a penthouse in Zurich,8527761,Ben,Kreis 11,Oerlikon,47.40782,8.55461,95,1,6,04/07/2019,0.06,1,274,0,0,0,1,0
1637876,Spacious room near center and university,1275222,Yvonne,Kreis 6,Oberstrass,47.38302,8.54983,75,2,462,02/09/2022,4.21,1,83,31,0,0,1,0
1638930,Private room in center of Zurich,8699600,Ivo,Kreis 5,Gewerbeschule,47.38435,8.53154,90,1,276,01/09/2022,2.51,1,4,36,0,0,1,0
1730300,LOVELY HOME,1373632,Dani,Kreis 2,Enge,47.36538,8.52406,55,4,21,31/05/2022,0.44,1,320,6,0,0,1,0
1859135,Wohnung in bester Lage ZÃ¼rich,9700015,Esther,Kreis 7,Fluntern,47.37969,8.55919,91,20,0,,,1,88,0,1,0,0,0
1876794,Modern sunny Appartment lakeside,1599948,Boris,Kreis 7,Hottingen,47.36724,8.55179,314,1,12,18/06/2022,0.12,2,365,2,1,0,0,0
1880893,Exclusive sunny penthouse at lake,1599948,Boris,Kreis 7,Hottingen,47.3681,8.55116,242,1,14,19/09/2022,0.14,2,358,4,1,0,0,0
1888122,Cozy Studio in ZÃ¼rich-City!,9758486,Sandy,Kreis 8,MÃ¼hlebach,47.36401,8.55047,53,10,3,16/02/2022,0.16,1,5,1,1,0,0,0
1962016,A spacious space,9175734,Roland,Kreis 9,Albisrieden,47.38015,8.49808,150,2,113,02/09/2022,1.08,1,359,7,0,0,1,0
1982405,studio / home office  in a trendy quarter,5614354,Subas,Kreis 10,Wipkingen,47.39408,8.53195,80,21,49,01/07/2022,0.47,2,295,4,1,0,0,0
2004128,Super central & cozy (+ family-friendly)!,8658139,Malin,Kreis 4,Werd,47.37015,8.52678,165,5,29,13/08/2022,0.27,1,88,1,1,0,0,0
2019124,"New Modern Apartment, Great Area!",4387358,Mo & Angelika,Kreis 5,Escher Wyss,47.3868,8.51292,161,21,20,22/07/2022,0.19,3,224,1,1,0,0,0
2021797,Roomy well-lit Private room Heart of Zurich,10379615,Josh,Kreis 2,Enge,47.36288,8.52304,100,30,136,23/04/2022,1.27,2,180,3,0,0,1,0
2045519,"Groundfloor Room i/Family Home Hottingen, Kreis 7",10487269,Christine,Kreis 7,Hottingen,47.36644,8.56301,54,4,91,31/08/2022,0.9,4,54,8,0,0,1,0
2049847,"Balcony Room in FamilyHome Hottingen, Kreis 7",10487269,Christine,Kreis 7,Hottingen,47.36644,8.56301,54,5,95,18/09/2022,0.94,4,325,4,0,0,1,0
2055920,Modern 5.5 Meter Celings City Center Flat!,4387358,Mo & Angelika,Kreis 4,Langstrasse,47.38015,8.52768,417,45,13,17/07/2021,0.13,3,365,0,1,0,0,0
2073042,Bedroom i/Family Home ZÃ¼riHottingen,10487269,Christine,Kreis 7,Hottingen,47.36589,8.56362,54,5,46,01/07/2022,0.43,4,269,2,0,0,1,0
2082084,Basic Well-lit Private Room Heart of Zurich,10379615,Josh,Kreis 3,Alt-Wiedikon,47.36407,8.52113,71,30,125,30/06/2022,1.19,2,140,5,0,0,1,0
2153011,cosy room in fully refurbished flat,10668255,Franziska,Kreis 4,Werd,47.37137,8.52822,65,21,30,01/07/2022,0.28,1,24,2,0,0,1,0
2470664,"Old-town, cozy 2 rooms flat, fully furnished",10651736,Alberto,Kreis 1,Rathaus,47.37315,8.5458,113,20,41,06/09/2022,0.4,3,247,8,1,0,0,0
2529375,Very cozy 3.5 room apartment in Zurich-Wipkingen,1584457,Emanuele,Kreis 10,Wipkingen,47.39516,8.51727,120,160,4,19/06/2016,0.04,1,358,0,1,0,0,0
2579889,Mi Casa es su Casa,75558392,Filipa,Kreis 3,Alt-Wiedikon,47.36347,8.51749,162,1,517,14/09/2022,5.04,4,133,72,1,0,0,0
2668952,Living & homeoffice with spectacular views !,13570663,Chris,Kreis 1,Rathaus,47.37475,8.54413,140,4,364,04/09/2022,3.68,38,311,18,1,0,0,0
2679799,Discover ZÃ¼rich & relax comfortably,8061776,Salvia,Kreis 2,Wollishofen,47.33763,8.53492,70,2,99,31/07/2022,0.97,4,78,7,0,0,1,0
2741410,Lovely and bright room in Kreis 7.,3111960,Ela,Kreis 7,Hirslanden,47.362209,8.561128,85,1,25,08/09/2022,0.39,1,21,20,0,0,1,0
2789296,Cozy and beautiful flat in old-town,10651736,Alberto,Kreis 1,Rathaus,47.37638,8.54463,85,20,28,01/09/2022,0.28,3,312,7,1,0,0,0
2852452,Centrally located 4-room apartment â€“ a real gem!,9162952,Andreas,Kreis 6,Oberstrass,47.37738,8.54754,136,20,14,31/01/2021,0.14,1,6,0,1,0,0,0
2869056,Letzigrund Jade Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,575,1,3,27/11/2021,0.07,91,225,1,1,0,0,0
2869081,Letzigrund Magenta Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,575,1,18,06/01/2020,0.2,91,267,0,1,0,0,0
2869105,Letzigrund Maroon Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,575,1,10,29/05/2022,0.12,91,271,1,1,0,0,0
2869130,Letzigrund Khaki Apartment,12886487,Stephanie,Kreis 9,Altstetten,47.38644,8.50317,575,1,6,03/08/2019,0.06,91,208,0,1,0,0,0
2920505,N1 Apartment in the heart of Zurich,12886487,Stephanie,Kreis 1,Rathaus,47.37505,8.54372,574,1,21,22/06/2022,0.23,91,303,7,1,0,0,0
2920543,N2 - Apartment in the Old Town,12886487,Stephanie,Kreis 1,Rathaus,47.37505,8.54372,575,1,30,27/06/2022,0.3,91,284,8,1,0,0,0
2920590,ZH Seefeld-Kreuzstrasse - HITrental Apartment ZÃ¼ri,12886487,Stephanie,Kreis 8,Seefeld,47.36243,8.54878,574,1,54,07/07/2022,0.58,91,271,6,1,0,0,0
2920698,3 room apartment in a historic town - S3,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,575,1,106,29/08/2022,1.08,91,263,28,1,0,0,0
2920742,S1 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,575,1,33,03/04/2022,0.34,91,304,2,1,0,0,0
2920780,S2 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,575,1,25,22/06/2022,0.27,91,336,4,1,0,0,0
2920806,S4 - Charming 1 room apartment,12886487,Stephanie,Kreis 1,Rathaus,47.37468,8.54342,575,1,6,22/07/2020,0.08,91,307,0,1,0,0,0
